path,proposed_component,treatment,evidence_or_reason
"internal/endpoint/application_half_close.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/closed_state_binding.go","endpoint-admission","boundary-review","package-and-symbol pass"
"internal/endpoint/descriptorhistory/doc.go","publication-discovery","retain","package documentation"
"internal/endpoint/descriptorhistory/history.go","publication-discovery","retain","package-and-symbol pass"
"internal/endpoint/doc.go","endpoint-admission","retain","package documentation"
"internal/endpoint/durableroot/access_unix.go","durable-storage","retain","package-and-symbol pass"
"internal/endpoint/durableroot/access_windows.go","durable-storage","retain","package-and-symbol pass"
"internal/endpoint/durableroot/doc.go","durable-storage","retain","package documentation"
"internal/endpoint/durableroot/lock_unix.go","durable-storage","retain","package-and-symbol pass"
"internal/endpoint/durableroot/lock_windows.go","durable-storage","retain","package-and-symbol pass"
"internal/endpoint/durableroot/sync_unix.go","durable-storage","retain","package-and-symbol pass"
"internal/endpoint/durableroot/sync_windows.go","durable-storage","retain","package-and-symbol pass"
"internal/endpoint/installed_worker_artifact_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/installed_worker_cgroup_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/installed_worker_instance_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/installed_worker_manager_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/installed_worker_properties_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/permissionfile/doc.go","permission-issuance","retain","package documentation"
"internal/endpoint/permissionfile/files_linux.go","permission-issuance","retain","package-and-symbol pass"
"internal/endpoint/portable/access_unix.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/portable/access_windows.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/portable/doc.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/portable/lock_unix.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/portable/lock_windows.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/portable/paths_unix.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/portable/paths_windows.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/portable/roots.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/portable/runtime.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/protected_service_attachment.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/protected_service_tls.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/publisher_attachment_acquisition.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/publisher_introduction.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/publisher_start.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/replacement/bundle.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/replacement/contract.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/replacement/doc.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/replacement/lock_linux.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/replacement/lock_nonlinux.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/replacement/operation.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/replacement/preactivation_retry.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/replacement/store.go","artifact-enrollment","retain","cmd/ardents production caller"
"internal/endpoint/service_administration.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/service_admission.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/service_connection.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/service_credential.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/service_doc.go","service-connection","retain","package documentation"
"internal/endpoint/service_name_origin.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/service_publication.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/service_resources.go","resource-diagnostics","boundary-review","package-and-symbol pass"
"internal/endpoint/service_runtime.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/service_stream.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/service_tls.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/service_volatile_material.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/stream_qualification_artifact_linux.go","qualification","boundary-review","package-and-symbol pass"
"internal/endpoint/stream_qualification_connections_linux.go","qualification","boundary-review","package-and-symbol pass"
"internal/endpoint/stream_qualification_idle_linux.go","qualification","boundary-review","package-and-symbol pass"
"internal/endpoint/stream_qualification_preflight_linux.go","qualification","boundary-review","package-and-symbol pass"
"internal/endpoint/stream_qualification_replenishment_linux.go","qualification","boundary-review","package-and-symbol pass"
"internal/endpoint/stream_qualification_runtime_linux.go","qualification","boundary-review","package-and-symbol pass"
"internal/endpoint/target_link.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_administration_linux.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/text_connection_linux.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/text_context_guard_linux.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/text_context_retirement.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/text_context_shutdown.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/text_context.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/text_descriptor_publication.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_interior_set.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_accept.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_admission.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_dispatch_state.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_dispatch.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_exchange_lifetime.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_exchange_set.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_exchange.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_prefix_lifecycle.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_prepare.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_receive.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_recipient.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_recovery.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_refusal.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_introduction_registration.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_issuance_operation.go","permission-issuance","deepen","package-and-symbol pass"
"internal/endpoint/text_issuance.go","permission-issuance","deepen","package-and-symbol pass"
"internal/endpoint/text_issuer_stock.go","permission-issuance","deepen","package-and-symbol pass"
"internal/endpoint/text_job_lifecycle.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/text_join_service.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_operation_flight.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/text_participant_linux.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/text_participant_observation_linux.go","resource-diagnostics","boundary-review","package-and-symbol pass"
"internal/endpoint/text_participant.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/text_permission_files_linux.go","permission-issuance","deepen","package-and-symbol pass"
"internal/endpoint/text_permission_provision_linux.go","permission-issuance","deepen","package-and-symbol pass"
"internal/endpoint/text_permission_stock.go","permission-issuance","deepen","package-and-symbol pass"
"internal/endpoint/text_permission.go","permission-issuance","deepen","package-and-symbol pass"
"internal/endpoint/text_prefix_opening_operation.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_prefix_retirement.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_publication_drain.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_publication_link_linux.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_publication_pair_lifecycle.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_publication_platform_linux.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_publication_refresh.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_publisher_network_linux.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_publisher_prefix.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_publisher_start_linux.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_publisher_withdraw_linux.go","publication-discovery","deepen","package-and-symbol pass"
"internal/endpoint/text_resolution.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_responder_prefix_lifecycle.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_responder_prefix.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_responder_source.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_runtime_state_linux.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/text_runtime_state_nonlinux.go","endpoint-admission","deepen","package-and-symbol pass"
"internal/endpoint/text_service_binding.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/text_service_publisher_linux.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/text_service_reader_linux.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/text_service_route_recovery.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/text_service_stream.go","service-connection","boundary-review","package-and-symbol pass"
"internal/endpoint/text_service_workload_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/text_source_lifecycle.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_source_operations.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_source_prefix.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_source_reopen.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_source_separation.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_source_state.go","client-path","deepen","package-and-symbol pass"
"internal/endpoint/text_token_transfer.go","permission-issuance","deepen","package-and-symbol pass"
"internal/endpoint/text_worker_attachment_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/text_worker_cleanup_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/text_worker_grant_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/text_worker_initialization_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/text_worker_launch_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/text_worker_lifetime_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/text_worker_parent_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/endpoint/tokenjournal/doc.go","permission-issuance","retain","package documentation"
"internal/endpoint/tokenjournal/journal.go","permission-issuance","retain","package-and-symbol pass"
"internal/endpoint/tokenjournal/store.go","permission-issuance","retain","package-and-symbol pass"
