"path","artifact_class","physical_owner","proposed_module","audit_state"
".dockerignore","repository-root",".","","unreviewed"
".gitattributes","repository-root",".","","unreviewed"
".githooks/pre-commit","repository-hook",".githooks","","unreviewed"
".github/workflows/quality.yml","ci-config",".github/workflows","","unreviewed"
".gitignore","repository-root",".","","unreviewed"
"AGENTS.md","repository-root",".","","unreviewed"
"CONTEXT.md","repository-root",".","","unreviewed"
"CONTRIBUTING.md","repository-root",".","","unreviewed"
"LICENSE","repository-root",".","","unreviewed"
"Makefile","repository-root",".","","unreviewed"
"README.md","repository-root",".","","unreviewed"
"cmd/ardents-control/alpha_control_fixture_test.go","go-test","cmd/ardents-control","","unreviewed"
"cmd/ardents-control/closed_issuer_inspection.go","production-go","cmd/ardents-control","closed profile command adapter","command-surface-pass"
"cmd/ardents-control/closed_issuer_inspection_test.go","go-test","cmd/ardents-control","","unreviewed"
"cmd/ardents-control/closed_profile.go","production-go","cmd/ardents-control","closed profile command adapter","command-surface-pass"
"cmd/ardents-control/doc.go","production-go","cmd/ardents-control","control command dispatch and inspection","command-surface-pass"
"cmd/ardents-control/inspection_report.go","production-go","cmd/ardents-control","control inspection report","command-surface-pass"
"cmd/ardents-control/inspection_report_test.go","go-test","cmd/ardents-control","","unreviewed"
"cmd/ardents-control/main.go","production-go","cmd/ardents-control","control command dispatch and inspection","command-surface-pass"
"cmd/ardents-control/main_test.go","go-test","cmd/ardents-control","","unreviewed"
"cmd/ardents-custody/admission_authority.go","production-go","cmd/ardents-custody","admission Authority command adapter","behavior-source-traced"
"cmd/ardents-custody/admission_permission_client_linux_test.go","go-test","cmd/ardents-custody","","unreviewed"
"cmd/ardents-custody/command.go","production-go","cmd/ardents-custody","Custody command dispatch","command-surface-pass"
"cmd/ardents-custody/credential_response_publication.go","production-go","cmd/ardents-custody","Credential response publication adapter","behavior-source-traced"
"cmd/ardents-custody/credential_response_publication_nonwindows.go","production-go","cmd/ardents-custody","Credential response publication adapter","command-surface-pass"
"cmd/ardents-custody/credential_response_publication_windows.go","production-go","cmd/ardents-custody","Credential response publication adapter","command-surface-pass"
"cmd/ardents-custody/doc.go","production-go","cmd/ardents-custody","Custody command dispatch","command-surface-pass"
"cmd/ardents-custody/inspect_envelope.go","production-go","cmd/ardents-custody","Custody envelope inspection adapter","command-surface-pass"
"cmd/ardents-custody/main.go","production-go","cmd/ardents-custody","Custody command dispatch","command-surface-pass"
"cmd/ardents-custody/main_test.go","go-test","cmd/ardents-custody","","unreviewed"
"cmd/ardents-custody/purge_record.go","production-go","cmd/ardents-custody","Custody record purge adapter","command-surface-pass"
"cmd/ardents-custody/recovery_bundle.go","production-go","cmd/ardents-custody","Custody recovery Bundle adapter","command-surface-pass"
"cmd/ardents-custody/service_authority.go","production-go","cmd/ardents-custody","Service Authority command adapter","behavior-source-traced"
"cmd/ardents-custody/terminal_secret.go","production-go","cmd/ardents-custody","Custody terminal secret input","command-surface-pass"
"cmd/ardents-custody/verify_record.go","production-go","cmd/ardents-custody","Custody record verification adapter","command-surface-pass"
"cmd/ardents-node/closed_forwarding_plan_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/closed_introduction_plan_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/closed_join_plan_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/closed_resolution_plan_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/config.go","production-go","cmd/ardents-node","Node command dispatch and input","command-surface-pass"
"cmd/ardents-node/config_clock_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/contributor_mode.go","production-go","cmd/ardents-node","Contributor retirement command adapter","command-surface-pass"
"cmd/ardents-node/contributor_mode_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/doc.go","production-go","cmd/ardents-node","Node command dispatch and input","command-surface-pass"
"cmd/ardents-node/event_output.go","production-go","cmd/ardents-node","Node event output","command-surface-pass"
"cmd/ardents-node/hosting_mode.go","production-go","cmd/ardents-node","Hosting initialization command adapter","command-surface-pass"
"cmd/ardents-node/issuer_initialize.go","production-go","cmd/ardents-node","Transit Grant issuer command adapter","command-surface-pass"
"cmd/ardents-node/issuer_initialize_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/main.go","production-go","cmd/ardents-node","Node command dispatch and input","command-surface-pass"
"cmd/ardents-node/main_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/node_config.go","production-go","cmd/ardents-node","Node duty command runtime","command-surface-pass"
"cmd/ardents-node/node_credential_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/node_duty_retirement_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/node_event_output.go","production-go","cmd/ardents-node","Node duty command runtime","command-surface-pass"
"cmd/ardents-node/node_event_output_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/node_identity.go","production-go","cmd/ardents-node","Node duty command runtime","command-surface-pass"
"cmd/ardents-node/node_mode.go","production-go","cmd/ardents-node","Node duty command runtime","command-surface-pass"
"cmd/ardents-node/node_network_plan.go","production-go","cmd/ardents-node","Node duty command runtime","command-surface-pass"
"cmd/ardents-node/node_profile_identity_migration_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/operator_input.go","production-go","cmd/ardents-node","Node command dispatch and input","command-surface-pass"
"cmd/ardents-node/source_profile_retirement_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/source_runtime.go","production-go","cmd/ardents-node","Source command runtime","command-surface-pass"
"cmd/ardents-node/source_runtime_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/systemd_linux.go","production-go","cmd/ardents-node","Node process supervisor and termination adapter","command-surface-pass"
"cmd/ardents-node/systemd_other.go","production-go","cmd/ardents-node","Node process supervisor and termination adapter","command-surface-pass"
"cmd/ardents-node/termination_linux.go","production-go","cmd/ardents-node","Node process supervisor and termination adapter","command-surface-pass"
"cmd/ardents-node/termination_linux_test.go","go-test","cmd/ardents-node","","unreviewed"
"cmd/ardents-node/termination_other.go","production-go","cmd/ardents-node","Node process supervisor and termination adapter","command-surface-pass"
"cmd/ardents-node/termination_windows.go","production-go","cmd/ardents-node","Node process supervisor and termination adapter","command-surface-pass"
"cmd/ardents-qualification/completed_evidence_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/doc.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/endpoint_artifact_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/environment_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/evidence_journal_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/evidence_journal_linux_test.go","go-test","cmd/ardents-qualification","","unreviewed"
