package,production_go,test_go,incoming_packages,linux_imports,windows_imports
"cmd/ardents","24","17","0","internal/application/interfacev1/administration;internal/diagnostics/timeline;internal/endpoint;internal/endpoint/portable;internal/endpoint/replacement;internal/enrollment;internal/entry;internal/naming;internal/network/duty;internal/network/source;internal/network/state;internal/release;internal/route;internal/service/instance","internal/application/interfacev1/administration;internal/diagnostics/timeline;internal/endpoint/portable;internal/endpoint/replacement;internal/enrollment;internal/entry;internal/naming;internal/network/duty;internal/network/source;internal/network/state;internal/release;internal/route;internal/service/instance"
"cmd/ardents-control","5","4","0","internal/alphacontrol;internal/alphacontrol/inspection;internal/enrollment;internal/network/state;internal/route/credential","internal/alphacontrol;internal/alphacontrol/inspection;internal/enrollment;internal/network/state;internal/route/credential"
"cmd/ardents-custody","13","2","0","internal/custody","internal/custody"
"cmd/ardents-node","19","15","0","internal/contributor;internal/network/source;internal/network/state;internal/node;internal/resource;internal/route;internal/route/credential","internal/contributor;internal/network/source;internal/network/state;internal/node;internal/resource;internal/route;internal/route/credential"
"cmd/ardents-qualification","24","8","0","internal/application/streamqualification;internal/endpoint;internal/network/state;internal/node;internal/qualification;internal/resource",""
"cmd/ardents-stream-qualification","2","1","0","internal/application/streamqualification","internal/application/streamqualification"
"cmd/ardents-text","9","9","0","internal/application/interfacev1/administration;internal/application/interfacev2/connection;internal/application/textdocument","internal/application/interfacev1/administration;internal/application/interfacev2/connection;internal/application/textdocument"
"internal/alphacontrol","13","4","2","",""
"internal/alphacontrol/inspection","7","6","1","internal/alphacontrol;internal/enrollment;internal/naming/alpha;internal/network/state;internal/release","internal/alphacontrol;internal/enrollment;internal/naming/alpha;internal/network/state;internal/release"
"internal/application/broker","3","1","1","",""
"internal/application/interfacev1/administration","7","6","3","",""
"internal/application/interfacev2/connection","9","9","4","",""
"internal/application/streamqualification","12","8","4","internal/application/interfacev2/connection",""
"internal/application/textdocument","19","17","2","internal/application/interfacev2/connection","internal/application/interfacev2/connection"
"internal/architecture","1","23","0","",""
"internal/contributor","15","6","1","",""
"internal/custody","21","6","1","internal/naming/namespace/authority;internal/naming/namespace/epoch;internal/naming/namespace/record;internal/route/credential;internal/service/instance;internal/service/publication","internal/naming/namespace/authority;internal/naming/namespace/epoch;internal/naming/namespace/record;internal/route/credential;internal/service/instance;internal/service/publication"
"internal/diagnostics/timeline","2","1","1","",""
"internal/endpoint","95","117","2","internal/application/broker;internal/application/interfacev1/administration;internal/application/interfacev2/connection;internal/application/streamqualification;internal/application/textdocument;internal/endpoint/descriptorhistory;internal/endpoint/permissionfile;internal/endpoint/tokenjournal;internal/entry;internal/network/duty;internal/network/state;internal/qualification;internal/resource;internal/route;internal/route/ardp;internal/route/capsule;internal/route/credential;internal/route/terminal;internal/service/connection;internal/service/instance;internal/service/publication;internal/service/reachability;internal/service/targetlink",""
"internal/endpoint/descriptorhistory","2","1","1","internal/service/reachability",""
"internal/endpoint/durableroot","7","1","1","",""
"internal/endpoint/permissionfile","2","1","1","",""
"internal/endpoint/portable","9","1","1","",""
"internal/endpoint/replacement","8","9","1","internal/release","internal/release"
"internal/endpoint/tokenjournal","3","1","1","internal/endpoint/durableroot",""
"internal/enrollment","8","4","3","internal/release","internal/release"
"internal/entry","29","8","3","",""
"internal/naming","3","3","8","",""
"internal/naming/alpha","9","3","1","internal/naming","internal/naming"
"internal/naming/namespace","2","14","1","internal/naming/namespace/admission;internal/naming/namespace/epoch;internal/naming/namespace/record","internal/naming/namespace/admission;internal/naming/namespace/epoch;internal/naming/namespace/record"
"internal/naming/namespace/admission","4","1","4","",""
"internal/naming/namespace/authority","7","6","2","internal/naming;internal/naming/namespace/admission;internal/naming/namespace/claim;internal/naming/namespace/epoch;internal/naming/namespace/record;internal/naming/namespace/recovery","internal/naming;internal/naming/namespace/admission;internal/naming/namespace/claim;internal/naming/namespace/epoch;internal/naming/namespace/record;internal/naming/namespace/recovery"
"internal/naming/namespace/claim","7","1","2","internal/naming;internal/naming/namespace/admission;internal/naming/namespace/record","internal/naming;internal/naming/namespace/admission;internal/naming/namespace/record"
"internal/naming/namespace/epoch","16","2","4","internal/naming;internal/naming/namespace/claim;internal/naming/namespace/record","internal/naming;internal/naming/namespace/claim;internal/naming/namespace/record"
